Pais,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Brasil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Uruguay,3,6,4,5,5,4,4,4,3,4,4,5,6,7,5,4,4,3
Ecuador,8,5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4
Peru,5,8,8,9,10,10,9,7,7,7,7,9,7,5,4,5,5,5
Colombia,2,3,7,7,6,5,5,5,5,5,5,4,5,4,6,7,6,6
Chile,7,7,6,6,7,7,7,8,8,8,8,6,4,6,7,6,7,7
Paraguay,6,4,5,4,4,6,6,6,6,6,6,8,8,9,9,9,8,8
Bolivia,10,10,10,10,8,8,8,9,9,9,9,7,9,8,8,8,9,9
Venezuela,9,9,9,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10
